name,class,platform,B/S,price,closed,profit,trade_date,record_date,remark,year
小白羊,music,XY,S,2550.0,,,2021-10-24,2023-07-09,,2021
高芬xlr,music,XY,S,399.0,,,2021-10-27,2023-07-09,,2021
sony_zx2,music,others,S,1600.0,,,2021-10-31,2023-07-09,微信转账,2021
莲花音箱线,music,TB,B,-19.0,,,2021-11-11,2023-07-09,,2021
美标插排,music,TB,B,-213.14,N,-213.14,2021-11-11,2023-07-09,,2021
享声国标电源线,music,TB,B,-344.35,Y,-95.35000000000002,2021-11-11,2023-07-09,,2021
ps会员,PS,others,B,-168.91,,,2021-11-20,2023-07-09,,2021
机械师K600,PC,JD,B,-718.0,,,2021-11-28,2023-07-09,,2021
飞马座,music,XY,S,4200.0,,,2021-11-29,2023-07-09,,2021
qa661,music,XY,B,-2000.0,Y,-150.0,2021-12-13,2023-07-09,,2021
锋之星升级线,music,XY,B,-1000.0,Y,-250.0,2022-02-28,2023-07-09,,2022
mdr_z1r,music,XY,B,-7800.0,Y,-600.0,2022-02-28,2023-07-09,,2022
大耳保护盒,music,XY,B,-100.0,Y,15.0,2022-02-28,2023-07-09,z1r赠送,2022
热缩管,music,TB,B,-10.04,,,2022-03-05,2023-07-09,,2022
800s插针转接头,music,TB,B,-228.38,Y,-78.38,2022-03-05,2023-07-09,,2022
耳机支架,music,TB,B,-29.0,,,2022-03-07,2023-07-09,,2022
ps游戏,PS,others,B,-65.01,,,2022-03-08,2023-07-09,gta5,2022
热缩管,music,TB,B,-5.12,,,2022-03-12,2023-07-09,,2022
耳罩保护套,music,TB,B,-64.64,,,2022-04-21,2023-07-09,,2022
天朗gold5,music,XY,B,-2500.0,Y,-101.0,2022-05-22,2023-07-09,,2022
qa661电源线,music,TB,B,-16.5,,,2022-05-24,2023-07-09,,2022
音箱海绵脚垫,music,TB,B,-46.77,,,2022-05-26,2023-07-09,,2022
拓品dx3pro+,music,XY,B,-798.0,Y,1.0,2022-05-27,2023-07-09,,2022
rca音箱线,music,JD,B,-47.98,,,2022-05-27,2023-07-09,,2022
ps碟,PS,others,B,-400.0,,,2022-05-28,2023-07-09,地平线2,2022
拓品m50,music,TB,B,-1179.0,Y,-267.0,2022-06-14,2023-07-09,,2022
usb线,music,TB,B,-73.74,N,-73.74,2022-06-21,2023-07-09,,2022
dela_n1a,music,XY,B,-7800.0,Y,-1000.0,2022-08-03,2023-07-09,,2022
拓品m50,music,XY,S,912.0,,,2022-08-09,2023-07-09,,2022
享声国标电源线,music,XY,S,249.0,,,2022-08-11,2023-07-09,,2022
万隆同轴线,music,XY,S,400.0,,,2022-08-14,2023-07-09,,2022
qa661,music,XY,S,1850.0,,,2022-08-30,2023-07-09,,2022
大乌,music,XY,B,-9600.0,N,-9600.0,2022-09-29,2023-07-09,,2022
3.5转6.35转接头,music,JD,B,-34.0,,,2022-09-29,2023-07-09,,2022
